location,date,hits
AK,2020-02-01,0
AK,2020-02-02,0
AK,2020-02-03,0
AK,2020-02-04,0
AK,2020-02-05,0
AK,2020-02-06,0
AK,2020-02-07,0
AK,2020-02-08,0
AK,2020-02-09,0
AK,2020-02-10,0
AK,2020-02-11,0
AK,2020-02-12,0
AK,2020-02-13,0
AK,2020-02-14,0
AK,2020-02-15,0
AK,2020-02-16,0
AK,2020-02-17,0
AK,2020-02-18,0
AK,2020-02-19,0
AK,2020-02-20,0
AK,2020-02-21,0
AK,2020-02-22,0
AK,2020-02-23,0
AK,2020-02-24,0
AK,2020-02-25,0
AK,2020-02-26,0
AK,2020-02-27,0
AK,2020-02-28,0
AK,2020-02-29,0
AK,2020-03-01,0
AK,2020-03-02,0
AK,2020-03-03,0
AK,2020-03-04,0
AK,2020-03-05,0
AK,2020-03-06,0
AK,2020-03-07,0
AK,2020-03-08,0
AK,2020-03-09,0
AK,2020-03-10,0
AK,2020-03-11,0
AK,2020-03-12,0
AK,2020-03-13,0
AK,2020-03-14,0
AK,2020-03-15,0
AK,2020-03-16,0
AK,2020-03-17,100
AK,2020-03-18,0
AK,2020-03-19,200
AK,2020-03-20,200
AK,2020-03-21,108.57142857142857
AK,2020-03-22,0
AK,2020-03-23,0
AK,2020-03-24,0
AK,2020-03-25,0
AK,2020-03-26,94.28571428571429
AK,2020-03-27,180
AK,2020-03-28,0
AK,2020-03-29,0
AK,2020-03-30,91.42857142857143
AK,2020-03-31,91.42857142857143
AK,2020-04-01,0
AK,2020-04-02,88.57142857142857
AK,2020-04-03,91.42857142857143
AK,2020-04-04,102.85714285714286
AK,2020-04-05,105.71428571428572
AK,2020-04-06,91.42857142857143
AK,2020-04-07,91.42857142857143
AK,2020-04-08,91.42857142857143
AK,2020-04-09,88.57142857142857
AK,2020-04-10,285.7142857142857
AK,2020-04-11,0
AK,2020-04-12,0
AK,2020-04-13,91.42857142857143
AK,2020-04-14,0
AK,2020-04-15,174.28571428571428
AK,2020-04-16,0
AK,2020-04-17,91.42857142857143
AK,2020-04-18,0
AK,2020-04-19,0
AK,2020-04-20,0
AK,2020-04-21,88.57142857142857
AK,2020-04-22,0
AK,2020-04-23,0
AK,2020-04-24,91.42857142857143
AL,2020-02-01,0
AL,2020-02-02,0
AL,2020-02-03,0
AL,2020-02-04,0
AL,2020-02-05,0
AL,2020-02-06,0
AL,2020-02-07,0
AL,2020-02-08,0
AL,2020-02-09,10.628571428571428
AL,2020-02-10,0
AL,2020-02-11,0
AL,2020-02-12,0
AL,2020-02-13,0
AL,2020-02-14,0
AL,2020-02-15,0
AL,2020-02-16,0
AL,2020-02-17,0
AL,2020-02-18,0
AL,2020-02-19,0
AL,2020-02-20,0
AL,2020-02-21,0
AL,2020-02-22,0
AL,2020-02-23,0
AL,2020-02-24,0
AL,2020-02-25,0
AL,2020-02-26,0
AL,2020-02-27,0
AL,2020-02-28,0
AL,2020-02-29,0
AL,2020-03-01,0
AL,2020-03-02,0
AL,2020-03-03,0
AL,2020-03-04,0
AL,2020-03-05,0
AL,2020-03-06,0
AL,2020-03-07,0
AL,2020-03-08,0
AL,2020-03-09,0
AL,2020-03-10,0
AL,2020-03-11,0
AL,2020-03-12,13.285714285714285
AL,2020-03-13,0
AL,2020-03-14,15.942857142857143
AL,2020-03-15,0
AL,2020-03-16,0
AL,2020-03-17,0
AL,2020-03-18,26.57142857142857
AL,2020-03-19,39.857142857142854
AL,2020-03-20,74.39999999999999
AL,2020-03-21,42.51428571428571
AL,2020-03-22,29.228571428571428
AL,2020-03-23,82.37142857142857
AL,2020-03-24,87.68571428571428
AL,2020-03-25,87.68571428571428
AL,2020-03-26,225.85714285714286
AL,2020-03-27,119.57142857142857
AL,2020-03-28,183.34285714285713
AL,2020-03-29,108.94285714285714
AL,2020-03-30,247.1142857142857
AL,2020-03-31,106.28571428571428
AL,2020-04-01,85.02857142857142
AL,2020-04-02,183.34285714285713
AL,2020-04-03,135.5142857142857
AL,2020-04-04,42.51428571428571
AL,2020-04-05,124.88571428571429
AL,2020-04-06,82.37142857142857
AL,2020-04-07,114.25714285714285
AL,2020-04-08,34.542857142857144
AL,2020-04-09,106.28571428571428
AL,2020-04-10,111.6
AL,2020-04-11,85.02857142857142
AL,2020-04-12,39.857142857142854
AL,2020-04-13,114.25714285714285
AL,2020-04-14,79.71428571428571
AL,2020-04-15,77.05714285714285
AL,2020-04-16,55.8
AL,2020-04-17,69.08571428571429
AL,2020-04-18,39.857142857142854
AL,2020-04-19,74.39999999999999
AL,2020-04-20,143.48571428571427
AL,2020-04-21,58.457142857142856
AL,2020-04-22,58.457142857142856
AL,2020-04-23,42.51428571428571
AL,2020-04-24,34.542857142857144
AR,2020-02-01,25.714285714285715
AR,2020-02-02,0
AR,2020-02-03,0
AR,2020-02-04,0
AR,2020-02-05,0
AR,2020-02-06,0
AR,2020-02-07,0
AR,2020-02-08,0
AR,2020-02-09,0
AR,2020-02-10,0
AR,2020-02-11,0
AR,2020-02-12,0
AR,2020-02-13,0
AR,2020-02-14,0
AR,2020-02-15,0
AR,2020-02-16,0
AR,2020-02-17,0
AR,2020-02-18,0
AR,2020-02-19,0
AR,2020-02-20,0
AR,2020-02-21,0
AR,2020-02-22,0
AR,2020-02-23,0
AR,2020-02-24,0
AR,2020-02-25,0
AR,2020-02-26,0
AR,2020-02-27,0
AR,2020-02-28,0
AR,2020-02-29,0
AR,2020-03-01,0
AR,2020-03-02,0
AR,2020-03-03,0
AR,2020-03-04,0
AR,2020-03-05,0
AR,2020-03-06,0
AR,2020-03-07,0
AR,2020-03-08,0
AR,2020-03-09,0
AR,2020-03-10,20.571428571428573
AR,2020-03-11,0
AR,2020-03-12,0
AR,2020-03-13,0
AR,2020-03-14,0
AR,2020-03-15,0
AR,2020-03-16,0
AR,2020-03-17,41.142857142857146
AR,2020-03-18,20.571428571428573
AR,2020-03-19,138.85714285714286
AR,2020-03-20,195.42857142857144
AR,2020-03-21,23.142857142857146
AR,2020-03-22,0
AR,2020-03-23,118.28571428571429
AR,2020-03-24,151.71428571428572
AR,2020-03-25,110.57142857142858
AR,2020-03-26,136.2857142857143
AR,2020-03-27,108.00000000000001
AR,2020-03-28,113.14285714285715
