location,date,hits
AK,2020-02-01,0
AK,2020-02-02,0
AK,2020-02-03,0
AK,2020-02-04,0
AK,2020-02-05,0
AK,2020-02-06,0
AK,2020-02-07,0
AK,2020-02-08,0
AK,2020-02-09,0
AK,2020-02-10,0
AK,2020-02-11,0
AK,2020-02-12,0
AK,2020-02-13,0
AK,2020-02-14,0
AK,2020-02-15,0
AK,2020-02-16,0
AK,2020-02-17,0
AK,2020-02-18,0
AK,2020-02-19,0
AK,2020-02-20,0
AK,2020-02-21,0
AK,2020-02-22,0
AK,2020-02-23,0
AK,2020-02-24,0
AK,2020-02-25,0
AK,2020-02-26,0
AK,2020-02-27,0
AK,2020-02-28,0
AK,2020-02-29,0
AK,2020-03-01,0
AK,2020-03-02,0
AK,2020-03-03,0
AK,2020-03-04,0
AK,2020-03-05,0
AK,2020-03-06,0
AK,2020-03-07,107.9
AK,2020-03-08,0
AK,2020-03-09,0
AK,2020-03-10,0
AK,2020-03-11,0
AK,2020-03-12,0
AK,2020-03-13,0
AK,2020-03-14,0
AK,2020-03-15,0
AK,2020-03-16,0
AK,2020-03-17,0
AK,2020-03-18,0
AK,2020-03-19,0
AK,2020-03-20,0
AK,2020-03-21,0
AK,2020-03-22,95.45
AK,2020-03-23,0
AK,2020-03-24,0
AK,2020-03-25,0
AK,2020-03-26,0
AK,2020-03-27,159.775
AK,2020-03-28,87.15
AK,2020-03-29,172.22500000000002
AK,2020-03-30,78.85000000000001
AK,2020-03-31,0
AK,2020-04-01,74.7
AK,2020-04-02,0
AK,2020-04-03,76.775
AK,2020-04-04,0
AK,2020-04-05,0
AK,2020-04-06,0
AK,2020-04-07,0
AK,2020-04-08,0
AK,2020-04-09,0
AK,2020-04-10,0
AK,2020-04-11,0
AK,2020-04-12,0
AK,2020-04-13,0
AK,2020-04-14,76.775
AK,2020-04-15,149.4
AK,2020-04-16,0
AK,2020-04-17,0
AK,2020-04-18,0
AK,2020-04-19,0
AK,2020-04-20,0
AK,2020-04-21,76.775
AK,2020-04-22,0
AK,2020-04-23,78.85000000000001
AK,2020-04-24,0
AK,2020-04-25,0
AK,2020-04-26,0
AK,2020-04-27,78.85000000000001
AK,2020-04-28,0
AK,2020-04-29,0
AK,2020-04-30,0
AK,2020-05-01,0
AK,2020-05-02,0
AK,2020-05-03,0
AK,2020-05-04,0
AL,2020-02-01,19.75
AL,2020-02-02,0
AL,2020-02-03,0
AL,2020-02-04,0
AL,2020-02-05,0
AL,2020-02-06,0
AL,2020-02-07,0
AL,2020-02-08,9.875
AL,2020-02-09,9.875
AL,2020-02-10,0
AL,2020-02-11,0
AL,2020-02-12,0
AL,2020-02-13,7.9
AL,2020-02-14,0
AL,2020-02-15,0
AL,2020-02-16,0
AL,2020-02-17,0
AL,2020-02-18,0
AL,2020-02-19,0
AL,2020-02-20,0
AL,2020-02-21,0
AL,2020-02-22,0
AL,2020-02-23,0
AL,2020-02-24,0
AL,2020-02-25,0
AL,2020-02-26,0
AL,2020-02-27,0
AL,2020-02-28,0
AL,2020-02-29,0
AL,2020-03-01,0
AL,2020-03-02,0
AL,2020-03-03,0
AL,2020-03-04,0
AL,2020-03-05,0
AL,2020-03-06,0
AL,2020-03-07,0
AL,2020-03-08,0
AL,2020-03-09,0
AL,2020-03-10,0
AL,2020-03-11,0
AL,2020-03-12,9.875
AL,2020-03-13,0
AL,2020-03-14,0
AL,2020-03-15,13.825000000000001
AL,2020-03-16,11.850000000000001
AL,2020-03-17,11.850000000000001
AL,2020-03-18,45.425000000000004
AL,2020-03-19,112.575
AL,2020-03-20,53.325
AL,2020-03-21,37.525
AL,2020-03-22,23.700000000000003
AL,2020-03-23,71.10000000000001
AL,2020-03-24,86.9
AL,2020-03-25,65.175
AL,2020-03-26,67.15
AL,2020-03-27,130.35
AL,2020-03-28,37.525
AL,2020-03-29,108.625
AL,2020-03-30,150.1
AL,2020-03-31,134.3
AL,2020-04-01,75.05
AL,2020-04-02,96.775
AL,2020-04-03,75.05
AL,2020-04-04,49.375
AL,2020-04-05,73.075
AL,2020-04-06,71.10000000000001
AL,2020-04-07,51.35
AL,2020-04-08,61.225
AL,2020-04-09,156.025
AL,2020-04-10,86.9
AL,2020-04-11,37.525
AL,2020-04-12,45.425000000000004
AL,2020-04-13,80.97500000000001
AL,2020-04-14,41.475
AL,2020-04-15,98.75
AL,2020-04-16,90.85000000000001
AL,2020-04-17,61.225
AL,2020-04-18,92.825
AL,2020-04-19,88.875
AL,2020-04-20,59.25
AL,2020-04-21,71.10000000000001
AL,2020-04-22,41.475
AL,2020-04-23,47.400000000000006
AL,2020-04-24,61.225
AL,2020-04-25,33.575
AL,2020-04-26,33.575
AL,2020-04-27,82.95
AL,2020-04-28,61.225
AL,2020-04-29,9.875
AL,2020-04-30,9.875
AL,2020-05-01,31.6
AL,2020-05-02,0
AL,2020-05-03,49.375
AL,2020-05-04,31.6
AR,2020-02-01,0
AR,2020-02-02,0
AR,2020-02-03,22.5
AR,2020-02-04,25
AR,2020-02-05,0
AR,2020-02-06,0
AR,2020-02-07,0
AR,2020-02-08,0
AR,2020-02-09,0
AR,2020-02-10,0
AR,2020-02-11,0
AR,2020-02-12,0
AR,2020-02-13,0
AR,2020-02-14,0
AR,2020-02-15,0
AR,2020-02-16,0
AR,2020-02-17,0
AR,2020-02-18,0
AR,2020-02-19,0
AR,2020-02-20,0
AR,2020-02-21,0
AR,2020-02-22,0
AR,2020-02-23,30
AR,2020-02-24,0
AR,2020-02-25,0
AR,2020-02-26,45
AR,2020-02-27,0
AR,2020-02-28,0
AR,2020-02-29,0
AR,2020-03-01,0
AR,2020-03-02,0
AR,2020-03-03,0
AR,2020-03-04,0
AR,2020-03-05,0
AR,2020-03-06,0
AR,2020-03-07,0
AR,2020-03-08,30
AR,2020-03-09,0
AR,2020-03-10,0
AR,2020-03-11,0
AR,2020-03-12,22.5
AR,2020-03-13,0
AR,2020-03-14,0
AR,2020-03-15,0
AR,2020-03-16,0
AR,2020-03-17,192.5
AR,2020-03-18,95
AR,2020-03-19,115
AR,2020-03-20,112.5
AR,2020-03-21,112.5
AR,2020-03-22,0
AR,2020-03-23,210
AR,2020-03-24,100
AR,2020-03-25,77.5
AR,2020-03-26,77.5
